id_sess,block,trial,dual,lines_first,decision,task,side,coherence,mu,meanTilt,sdTilt,tOn,tOff,rr,acc,tResp,id,seq,signed_mu,signed_coherence,session,id_session
18cl01,1,1,0,0,1,motion,1,0.1424,NaN,NaN,NaN,339842.5018,339842.9285,1,1,0.2631,18,01,NaN,0.1424,1.0,18_1.0
18cl01,1,1,0,0,2,orientation,1,NaN,7.9153,7.065,16.0774,339843.7444,339844.0493,1,1,0.3903,18,01,7.9153,NaN,1.0,18_1.0
18cl01,1,2,0,0,1,motion,1,0.9115,NaN,NaN,NaN,339846.8954,339847.2788,1,1,0.2819,18,01,NaN,0.9115,1.0,18_1.0
18cl01,1,2,0,0,2,orientation,1,NaN,7.8689,9.4107,16.1752,339848.104,339848.4062,1,1,0.3384,18,01,7.8689,NaN,1.0,18_1.0
18cl01,1,3,0,0,1,motion,1,0.8464,NaN,NaN,NaN,339851.0447,339851.4018,1,1,0.3508,18,01,NaN,0.8464,1.0,18_1.0
18cl01,1,3,0,0,2,orientation,-1,NaN,4.01,-2.2159,15.547,339852.3275,339852.6297,0,1,0.3551,18,01,-4.01,NaN,1.0,18_1.0
18cl01,1,4,0,0,1,motion,-1,0.2128,NaN,NaN,NaN,339855.343,339855.6951,1,0,0.4092,18,01,NaN,-0.2128,1.0,18_1.0
18cl01,1,4,0,0,2,orientation,-1,NaN,8.014,-8.7719,15.9918,339856.679,339856.9811,0,1,0.3075,18,01,-8.014,NaN,1.0,18_1.0
18cl01,1,5,0,0,1,motion,1,0.6121,NaN,NaN,NaN,339859.6917,339860.0418,1,1,0.3982,18,01,NaN,0.6121,1.0,18_1.0
18cl01,1,5,0,0,2,orientation,-1,NaN,4.5433,-4.4743,14.4707,339861.0296,339861.3318,0,1,0.5318,18,01,-4.5433,NaN,1.0,18_1.0
18cl01,1,6,0,0,1,motion,1,0.3089,NaN,NaN,NaN,339864.5148,339864.8718,1,1,0.4798,18,01,NaN,0.3089,1.0,18_1.0
18cl01,1,6,0,0,2,orientation,-1,NaN,1.2676,-1.9748,15.6656,339865.912,339866.2142,0,1,0.69,18,01,-1.2676,NaN,1.0,18_1.0
18cl01,1,7,0,0,1,motion,1,0.9113,NaN,NaN,NaN,339868.7215,339869.0728,1,1,0.4235,18,01,NaN,0.9113,1.0,18_1.0
18cl01,1,7,0,0,2,orientation,-1,NaN,6.5666,-5.2295,14.8707,339870.0714,339870.3736,0,1,0.354,18,01,-6.5666,NaN,1.0,18_1.0
18cl01,1,8,0,0,1,motion,-1,0.2818,NaN,NaN,NaN,339872.5615,339872.9173,1,0,0.4353,18,01,NaN,-0.2818,1.0,18_1.0
18cl01,1,8,0,0,2,orientation,-1,NaN,3.8253,-3.1162,12.9322,339873.9274,339874.2296,0,1,0.1952,18,01,-3.8253,NaN,1.0,18_1.0
18cl01,1,9,0,0,1,motion,-1,0.4244,NaN,NaN,NaN,339876.7039,339877.0558,0,1,0.4398,18,01,NaN,-0.4244,1.0,18_1.0
18cl01,1,9,0,0,2,orientation,-1,NaN,3.6762,-4.4603,15.4698,339878.0544,339878.3567,0,1,0.2754,18,01,-3.6762,NaN,1.0,18_1.0
18cl01,1,10,0,0,1,motion,1,0.4852,NaN,NaN,NaN,339880.8658,339881.279,1,1,0.3453,18,01,NaN,0.4852,1.0,18_1.0
18cl01,1,10,0,0,2,orientation,1,NaN,9.8115,10.2114,13.6467,339882.2243,339882.5288,0,0,0.2958,18,01,9.8115,NaN,1.0,18_1.0
18cl01,1,11,0,0,1,motion,1,0.7399,NaN,NaN,NaN,339885.3019,339885.7292,1,1,0.2635,18,01,NaN,0.7399,1.0,18_1.0
18cl01,1,11,0,0,2,orientation,1,NaN,5.0814,3.7325,15.1038,339886.5921,339886.8969,1,1,0.4239,18,01,5.0814,NaN,1.0,18_1.0
18cl01,1,12,0,0,1,motion,1,0.3508,NaN,NaN,NaN,339889.7566,339890.1785,1,1,0.3581,18,01,NaN,0.3508,1.0,18_1.0
18cl01,1,12,0,0,2,orientation,1,NaN,1.3344,1.698,14.52,339891.1089,339891.4134,0,0,0.3701,18,01,1.3344,NaN,1.0,18_1.0
18cl01,1,13,0,0,1,motion,1,0.1574,NaN,NaN,NaN,339894.0382,339894.4569,1,1,0.3514,18,01,NaN,0.1574,1.0,18_1.0
18cl01,1,13,0,0,2,orientation,1,NaN,7.2238,7.0486,14.4232,339895.3913,339895.6959,0,0,0.3596,18,01,7.2238,NaN,1.0,18_1.0
18cl01,1,14,0,0,1,motion,-1,0.2531,NaN,NaN,NaN,339898.3246,339898.7095,1,0,0.5306,18,01,NaN,-0.2531,1.0,18_1.0
18cl01,1,14,0,0,2,orientation,-1,NaN,1.8439,-1.3901,14.4775,339899.782,339900.0855,0,1,0.2269,18,01,-1.8439,NaN,1.0,18_1.0
18cl01,1,15,0,0,1,motion,-1,0.5652,NaN,NaN,NaN,339902.8923,339903.2493,0,1,0.2949,18,01,NaN,-0.5652,1.0,18_1.0
18cl01,1,15,0,0,2,orientation,1,NaN,3.1465,4.6511,15.1051,339904.1494,339904.4521,0,0,0.4195,18,01,3.1465,NaN,1.0,18_1.0
18cl01,1,16,0,0,1,motion,1,0.6604,NaN,NaN,NaN,339907.3269,339907.6821,1,1,0.3258,18,01,NaN,0.6604,1.0,18_1.0
18cl01,1,16,0,0,2,orientation,1,NaN,0.8159,0.9648,14.6222,339908.5987,339908.9018,0,0,0.2749,18,01,0.8159,NaN,1.0,18_1.0
18cl01,1,17,0,0,1,motion,-1,0.3186,NaN,NaN,NaN,339911.4716,339911.8225,0,1,0.2982,18,01,NaN,-0.3186,1.0,18_1.0
18cl01,1,17,0,0,2,orientation,1,NaN,8.1567,9.4904,15.8218,339912.6947,339912.9969,0,0,0.4506,18,01,8.1567,NaN,1.0,18_1.0
18cl01,1,18,0,0,1,motion,1,0.0302,NaN,NaN,NaN,339915.9764,339916.3319,1,1,0.4276,18,01,NaN,0.0302,1.0,18_1.0
18cl01,1,18,0,0,2,orientation,1,NaN,3.3231,2.1849,14.3427,339917.3356,339917.6378,0,0,0.1949,18,01,3.3231,NaN,1.0,18_1.0
18cl01,1,19,0,0,1,motion,1,0.2477,NaN,NaN,NaN,339920.0162,339920.3703,0,0,0.5502,18,01,NaN,0.2477,1.0,18_1.0
18cl01,1,19,0,0,2,orientation,-1,NaN,7.1323,-7.6906,15.3183,339921.4787,339921.7809,0,1,0.1794,18,01,-7.1323,NaN,1.0,18_1.0
18cl01,1,20,0,0,1,motion,-1,0.1146,NaN,NaN,NaN,339923.8106,339924.1647,0,1,0.58,18,01,NaN,-0.1146,1.0,18_1.0
18cl01,1,20,0,0,2,orientation,-1,NaN,7.0741,-5.6555,14.4704,339925.3021,339925.6043,0,1,0.2123,18,01,-7.0741,NaN,1.0,18_1.0
18cl01,1,21,0,0,1,motion,-1,0.8067,NaN,NaN,NaN,339927.7259,339928.1432,0,1,0.3443,18,01,NaN,-0.8067,1.0,18_1.0
18cl01,1,21,0,0,2,orientation,-1,NaN,11.2079,-10.9395,14.5777,339929.0563,339929.3608,0,1,0.2466,18,01,-11.2079,NaN,1.0,18_1.0
18cl01,1,22,0,0,1,motion,1,0.2126,NaN,NaN,NaN,339932.2765,339932.6811,1,1,0.4156,18,01,NaN,0.2126,1.0,18_1.0
18cl01,1,22,0,0,2,orientation,-1,NaN,9.0152,-8.464,15.8816,339933.6867,339933.9889,0,1,0.2445,18,01,-9.0152,NaN,1.0,18_1.0
18cl01,1,23,0,0,1,motion,1,0.6058,NaN,NaN,NaN,339936.5811,339936.9349,1,1,0.3685,18,01,NaN,0.6058,1.0,18_1.0
18cl01,1,23,0,0,2,orientation,1,NaN,11.4923,9.4375,15.8202,339937.8945,339938.1967,0,0,0.3241,18,01,11.4923,NaN,1.0,18_1.0
18cl01,1,24,0,0,1,motion,-1,0.4168,NaN,NaN,NaN,339940.8759,339941.2304,0,1,0.4571,18,01,NaN,-0.4168,1.0,18_1.0
18cl01,1,24,0,0,2,orientation,1,NaN,4.5787,3.5966,13.9004,339942.2462,339942.5498,0,0,0.4829,18,01,4.5787,NaN,1.0,18_1.0
18cl01,1,25,0,0,1,motion,-1,0.1056,NaN,NaN,NaN,339945.2327,339945.5857,1,0,0.5658,18,01,NaN,-0.1056,1.0,18_1.0
18cl01,1,25,0,0,2,orientation,-1,NaN,3.0968,-2.5538,16.1086,339946.7421,339947.0443,0,1,0.2119,18,01,-3.0968,NaN,1.0,18_1.0
18cl01,1,26,0,0,1,motion,-1,0.3714,NaN,NaN,NaN,339949.6257,339949.9799,0,1,0.4115,18,01,NaN,-0.3714,1.0,18_1.0
18cl01,1,26,0,0,2,orientation,1,NaN,9.9766,9.3693,13.897,339950.9508,339951.2529,0,0,0.3386,18,01,9.9766,NaN,1.0,18_1.0
18cl01,1,27,0,0,1,motion,-1,0.404,NaN,NaN,NaN,339954.2715,339954.6233,0,1,0.4092,18,01,NaN,-0.404,1.0,18_1.0
18cl01,1,27,0,0,2,orientation,-1,NaN,3.7526,-2.0791,15.1233,339955.5585,339955.8606,0,1,0.2761,18,01,-3.7526,NaN,1.0,18_1.0
18cl01,1,28,0,0,1,motion,1,0.1234,NaN,NaN,NaN,339958.4944,339958.8504,1,1,0.4858,18,01,NaN,0.1234,1.0,18_1.0
18cl01,1,28,0,0,2,orientation,1,NaN,6.8259,6.2606,14.2143,339959.8939,339960.1961,0,0,0.2593,18,01,6.8259,NaN,1.0,18_1.0
18cl01,1,29,0,0,1,motion,-1,0.666,NaN,NaN,NaN,339962.8416,339963.1959,0,1,0.4444,18,01,NaN,-0.666,1.0,18_1.0
18cl01,1,29,0,0,2,orientation,1,NaN,7.9961,11.3475,16.1167,339964.1834,339964.4856,1,1,0.4192,18,01,7.9961,NaN,1.0,18_1.0
18cl01,1,30,0,0,1,motion,1,0.7369,NaN,NaN,NaN,339967.1852,339967.5363,1,1,0.3911,18,01,NaN,0.7369,1.0,18_1.0
18cl01,1,30,0,0,2,orientation,1,NaN,5.8415,7.9236,14.8913,339968.5172,339968.8193,0,0,0.3562,18,01,5.8415,NaN,1.0,18_1.0
18cl01,1,31,0,0,1,motion,-1,0.7546,NaN,NaN,NaN,339971.3331,339971.6844,0,1,0.4208,18,01,NaN,-0.7546,1.0,18_1.0
18cl01,1,31,0,0,2,orientation,-1,NaN,3.7346,-2.5778,15.666,339972.6461,339972.9486,0,1,0.4668,18,01,-3.7346,NaN,1.0,18_1.0
18cl01,1,32,0,0,1,motion,1,0.475,NaN,NaN,NaN,339975.5328,339975.9288,1,1,0.2868,18,01,NaN,0.475,1.0,18_1.0
18cl01,1,32,0,0,2,orientation,-1,NaN,5.7591,-6.3983,14.3286,339976.7903,339977.0925,0,1,0.4835,18,01,-5.7591,NaN,1.0,18_1.0
18cl01,1,33,0,0,1,motion,-1,0.4233,NaN,NaN,NaN,339979.7682,339980.1191,0,1,0.3049,18,01,NaN,-0.4233,1.0,18_1.0
