"model" "logLik" "n_par" "AIC" "relModLik" "fixed_shift" "w1" "theta2" "m" "w" "id" "acc.stat" "acc.p.value"
"bayes" -93.6472408261682 0 187.294481652336 1 NA NA NA NA 0.725721839619525 18 33.5618803334484 3.45162193346547e-09
"sub1" -113.540096067647 1 229.080192135294 8.44011292672268e-10 -0.824868711666775 NA NA NA 6.12517427977771e-10 18 33.5618803334484 3.45162193346547e-09
"sub2" -96.3463759562847 2 196.692751912569 0.00910314673555687 NA 0.762867729536468 -1.89704108974455 NA 0.0066063523952548 18 33.5618803334484 3.45162193346547e-09
"metanoise" -93.644645995835 1 189.28929199167 0.368835265468979 NA NA NA 1.0055580636297 0.267671807372703 18 33.5618803334484 3.45162193346547e-09
"bayes" -173.802915017992 0 347.605830035983 5.60854981287162e-10 NA NA NA NA 2.12850495314507e-10 19 14.5014277555683 7.00266768507243e-05
"sub1" -151.502732726284 1 305.005465452569 0.998624494381205 -0.266371232135558 NA NA NA 0.378988732121838 19 14.5014277555683 7.00266768507243e-05
"sub2" -150.953367589096 2 305.906735178192 0.636346969223176 NA 0.644725754203967 -0.42599939418356 NA 0.241500516372678 19 14.5014277555683 7.00266768507243e-05
"metanoise" -151.501356273789 1 305.002712547579 1 NA NA NA 4.63849399133222 0.379510751292634 19 14.5014277555683 7.00266768507243e-05
"bayes" -115.567350615329 0 231.134701230658 0.202504271059672 NA NA NA NA 0.0688901492544632 20 21.5250416669327 1.74619154300831e-06
"sub1" -113.176291666877 1 228.352583333754 0.813885690213889 -0.700403916796096 NA NA NA 0.276876662311902 20 21.5250416669327 1.74619154300831e-06
"sub2" -112.050336771824 2 228.100673543647 0.923134386564202 NA 0.339615549904392 -0.898987632687212 NA 0.31404209570274 20 21.5250416669327 1.74619154300831e-06
"metanoise" -112.970356314324 1 227.940712628647 1 NA NA NA 1.48370578949405 0.340191092730895 20 21.5250416669327 1.74619154300831e-06
"bayes" -225.981506541948 0 451.963013083896 1.18742228197009e-15 NA NA NA NA 1.18742215640059e-15 21 0.122409508770641 0.363217867398445
"sub1" -213.111126575655 1 428.222253151311 1.69764043810738e-10 -1.11545884206575 NA NA NA 1.69764025858249e-10 21 0.122409508770641 0.363217867398445
"sub2" -189.61451495506 2 383.22902991012 1 NA 0.406218589765782 -7.92934262109273 NA 0.999999894250347 21 0.122409508770641 0.363217867398445
"metanoise" -206.678312792787 1 415.356625585575 1.05579898624626e-07 NA NA NA 0.397537245667628 1.05579887459589e-07 21 0.122409508770641 0.363217867398445
"bayes" -225.194320735529 0 450.388641471059 4.42563266397345e-36 NA NA NA NA 4.42563127972746e-36 22 0.0050378045247881 0.471707834109867
"sub1" -182.439730633317 1 366.879461266634 6.0223146059833e-18 -1.68868434726903 NA NA NA 6.02231272232835e-18 22 0.0050378045247881 0.471707834109867
"sub2" -141.788670630893 2 287.577341261786 1 NA 0.262083603998162 -8.08203384999423 NA 0.999999687220767 22 0.0050378045247881 0.471707834109867
"metanoise" -157.766438538372 1 317.532877076744 3.12779331108055e-07 NA NA NA 0.203653501984276 3.12779233277176e-07 22 0.0050378045247881 0.471707834109867
"bayes" -151.162520269201 0 302.325040538403 1.29287531150409e-19 NA NA NA NA 1.29213796779662e-19 24 0.0502702023375644 0.411296883456349
"sub1" -123.52499058247 1 249.049981164941 4.78727964096908e-08 -1.50317850685047 NA NA NA 4.78454939274814e-08 24 0.0502702023375644 0.411296883456349
"sub2" -105.670272163969 2 215.340544327939 1 NA 0.237017450260074 -3.92906956619186 NA 0.999429686914972 24 0.0502702023375644 0.411296883456349
"metanoise" -114.139110661047 1 230.278221322095 0.000570590654850833 NA NA NA 0.214518677438863 0.000570265239534177 24 0.0502702023375644 0.411296883456349
"bayes" -211.347662722745 0 422.69532544549 2.77108667637278e-18 NA NA NA NA 2.77108666661425e-18 25 1.63190619585114e-29 0.5
"sub1" -209.217995589731 1 420.435991179463 8.57547751363201e-18 -1.13653532865918 NA NA NA 8.57547748343299e-18 25 1.63190619585114e-29 0.5
"sub2" -168.920370594061 2 341.840741188122 1 NA 0.380897045860066 -7.72158388283724 NA 0.999999996478445 25 1.63190619585114e-29 0.5
"metanoise" -189.384733899244 1 380.769467798487 3.52155457156022e-09 NA NA NA 0.316324658924477 3.52155455915887e-09 25 1.63190619585114e-29 0.5
"bayes" -71.9503801429842 0 143.900760285968 0.00418334655910786 NA NA NA NA 0.00339557074632169 26 9.25880053945449 0.00117183233080355
"sub1" -67.622662627351 1 137.245325254702 0.116609302737878 -1.30325594478582 NA NA NA 0.0946503311478337 26 9.25880053945449 0.00117183233080355
"sub2" -66.6700861954066 2 137.340172390813 0.111208351901277 NA 0.198295939050063 -1.55837454327271 NA 0.0902664460443731 26 9.25880053945449 0.00117183233080355
"metanoise" -65.4737364024464 1 132.947472804893 1 NA NA NA 0.543594767814491 0.811687652061472 26 9.25880053945449 0.00117183233080355
"bayes" -217.807271390483 0 435.614542780966 1 NA NA NA NA 0.373531778253911 27 22.4899067406445 1.05625342121417e-06
"sub1" -230.705545876337 1 463.411091752675 9.20568442104751e-07 -0.770606746280496 NA NA NA 3.4386156718382e-07 27 22.4899067406445 1.05625342121417e-06
"sub2" -216.107235455396 2 436.214470910793 0.740844842526804 NA 0.880222982087589 -1.94583421058961 NA 0.276729091439276 27 22.4899067406445 1.05625342121417e-06
"metanoise" -216.873087922374 1 435.746175844747 0.936302630207567 NA NA NA 1.16047968468607 0.349738786445246 27 22.4899067406445 1.05625342121417e-06
"bayes" -259.691422058225 0 519.382844116451 1.79602159483578e-08 NA NA NA NA 1.7960214736304e-08 28 7.5682663917958 0.0029702447712595
"sub1" -268.34629882562 1 538.69259765124 1.15146794033858e-12 -0.720715335488757 NA NA NA 1.15146786263121e-12 28 7.5682663917958 0.0029702447712595
"sub2" -239.856315307931 2 483.712630615863 1 NA 1.10348548546596 -8.66096849510557 NA 0.999999932514519 28 7.5682663917958 0.0029702447712595
"metanoise" -257.67712135883 1 517.35424271766 4.95241181391277e-08 NA NA NA 1.30073251678433 4.95241147969688e-08 28 7.5682663917958 0.0029702447712595
