"model" "logLik" "n_par" "AIC" "relModLik" "fixed_shift" "w1" "theta2" "m" "w" "id" "seq" "acc.stat" "acc.p.value"
"bayes" -440.422577109386 0 880.845154218771 1.34329998669527e-70 NA NA NA NA 9.82022497866647e-71 "1_01" 1 10.4181431608788 0.99937608352983
"sub1" -278.536749862985 1 559.073499725969 1 -5.34942442079943e-09 NA NA NA 0.731052265013847 "1_01" 1 10.4181431608788 0.99937608352983
"sub2" -278.536749463412 2 561.073498926824 0.367879588166047 NA 1.33942594731787 0 NA 0.26893920618115 "1_01" 1 10.4181431608788 0.99937608352983
"metanoise" -289.895540838882 1 581.791081677763 1.16664777760672e-05 NA NA NA 10 8.52880500292762e-06 "1_01" 1 10.4181431608788 0.99937608352983
"bayes" -248.280515529809 0 496.561031059617 4.42339901708086e-18 NA NA NA NA 2.80355446230668e-18 "1_02" 2 1.45074713477441 0.114204053126458
"sub1" -207.320892264859 1 416.641784529719 1 -0.230207531787073 NA NA NA 0.633800941647094 "1_02" 2 1.45074713477441 0.114204053126458
"sub2" -207.320892264859 2 418.641784529719 0.367879441171442 NA 0 -0.23020754398804 NA 0.233162336227067 "1_02" 2 1.45074713477441 0.114204053126458
"metanoise" -208.882002001511 1 419.764004003022 0.209903004845825 NA NA NA 6.69561085404247 0.133036722125839 "1_02" 2 1.45074713477441 0.114204053126458
"bayes" -280.030048830484 0 560.060097660968 5.45694866313451e-26 NA NA NA NA 3.8854897301535e-26 "1_03" 3 1.47735542435667 0.112094374758478
"sub1" -220.859726193273 1 443.719452386546 1 -0.262631155477252 NA NA NA 0.712026073545953 "1_03" 3 1.47735542435667 0.112094374758478
"sub2" -220.859726193273 2 445.719452386546 0.367879441171432 NA 0 -0.262631159647726 NA 0.261939754035574 "1_03" 3 1.47735542435667 0.112094374758478
"metanoise" -224.168430725322 1 450.336861450644 0.0365635099411743 NA NA NA 7.86733748901033 0.0260341724184727 "1_03" 3 1.47735542435667 0.112094374758478
"bayes" -241.380583039664 0 482.761166079329 9.52305146424468e-09 NA NA NA NA 5.27427140869194e-09 "10_02" 2 12.1668326670369 0.000243234216500207
"sub1" -222.735688091125 1 447.47137618225 0.438385964560977 -0.442649320075459 NA NA NA 0.242796814396843 "10_02" 2 12.1668326670369 0.000243234216500207
"sub2" -220.91103253212 2 445.822065064241 1 NA 0.459503651094873 -0.63903963471325 NA 0.553842581707634 "10_02" 2 12.1668326670369 0.000243234216500207
"metanoise" -222.912932278858 1 447.825864557716 0.36718122682846 NA NA NA 2.42037201434237 0.203360598621251 "10_02" 2 12.1668326670369 0.000243234216500207
"bayes" -212.722620953315 0 425.44524190663 2.36252832924896e-12 NA NA NA NA 1.28087088098728e-12 "10_03" 3 19.5723874115834 4.84295084423471e-06
"sub1" -187.311985544729 1 376.623971089458 0.0943585552302659 -0.296978247284178 NA NA NA 0.0511575350315054 "10_03" 3 19.5723874115834 4.84295084423471e-06
"sub2" -184.238865267041 2 372.477730534081 0.750111769073558 NA 0.931089465459263 -0.658218337307134 NA 0.406681397466082 "10_03" 3 19.5723874115834 4.84295084423471e-06
"metanoise" -184.951332208917 1 371.902664417834 1 NA NA NA 3.52537474243112 0.542161067501131 "10_03" 3 19.5723874115834 4.84295084423471e-06
