"model" "logLik" "n_par" "AIC" "relModLik" "fixed_shift" "w1" "theta2" "m" "w" "id" "acc.stat" "acc.p.value"
"bayes" -93.6472408261682 0 187.294481652336 1 NA NA NA NA 0.725721839619525 18 33.5618803334484 3.45162193346547e-09
"sub1" -113.540096067647 1 229.080192135294 8.44011292672268e-10 -0.824868711666775 NA NA NA 6.12517427977771e-10 18 33.5618803334484 3.45162193346547e-09
"sub2" -96.3463759562847 2 196.692751912569 0.00910314673555687 NA 0.762867729536468 -1.89704108974455 NA 0.0066063523952548 18 33.5618803334484 3.45162193346547e-09
"metanoise" -93.644645995835 1 189.28929199167 0.368835265468979 NA NA NA 1.0055580636297 0.267671807372703 18 33.5618803334484 3.45162193346547e-09
"bayes" -173.802915017992 0 347.605830035983 5.60854981287162e-10 NA NA NA NA 2.12850495314507e-10 19 14.5014277555683 7.00266768507243e-05
"sub1" -151.502732726284 1 305.005465452569 0.998624494381205 -0.266371232135558 NA NA NA 0.378988732121838 19 14.5014277555683 7.00266768507243e-05
"sub2" -150.953367589096 2 305.906735178192 0.636346969223176 NA 0.644725754203967 -0.42599939418356 NA 0.241500516372678 19 14.5014277555683 7.00266768507243e-05
"metanoise" -151.501356273789 1 305.002712547579 1 NA NA NA 4.63849399133222 0.379510751292634 19 14.5014277555683 7.00266768507243e-05
"bayes" -115.567350615329 0 231.134701230658 0.202504271059672 NA NA NA NA 0.0688901492544632 20 21.5250416669327 1.74619154300831e-06
"sub1" -113.176291666877 1 228.352583333754 0.813885690213889 -0.700403916796096 NA NA NA 0.276876662311902 20 21.5250416669327 1.74619154300831e-06
"sub2" -112.050336771824 2 228.100673543647 0.923134386564202 NA 0.339615549904392 -0.898987632687212 NA 0.31404209570274 20 21.5250416669327 1.74619154300831e-06
"metanoise" -112.970356314324 1 227.940712628647 1 NA NA NA 1.48370578949405 0.340191092730895 20 21.5250416669327 1.74619154300831e-06
"bayes" -225.981506541948 0 451.963013083896 1.18742228197009e-15 NA NA NA NA 1.18742215640059e-15 21 0.122409508770641 0.363217867398445
"sub1" -213.111126575655 1 428.222253151311 1.69764043810738e-10 -1.11545884206575 NA NA NA 1.69764025858249e-10 21 0.122409508770641 0.363217867398445
"sub2" -189.61451495506 2 383.22902991012 1 NA 0.406218589765782 -7.92934262109273 NA 0.999999894250347 21 0.122409508770641 0.363217867398445
"metanoise" -206.678312792787 1 415.356625585575 1.05579898624626e-07 NA NA NA 0.397537245667628 1.05579887459589e-07 21 0.122409508770641 0.363217867398445
"bayes" -225.194320735529 0 450.388641471059 4.42563266397345e-36 NA NA NA NA 4.42563127972746e-36 22 0.0050378045247881 0.471707834109867
"sub1" -182.439730633317 1 366.879461266634 6.0223146059833e-18 -1.68868434726903 NA NA NA 6.02231272232835e-18 22 0.0050378045247881 0.471707834109867
"sub2" -141.788670630893 2 287.577341261786 1 NA 0.262083603998162 -8.08203384999423 NA 0.999999687220767 22 0.0050378045247881 0.471707834109867
"metanoise" -157.766438538372 1 317.532877076744 3.12779331108055e-07 NA NA NA 0.203653501984276 3.12779233277176e-07 22 0.0050378045247881 0.471707834109867
"bayes" -71.9503801429842 0 143.900760285968 0.00418334655910786 NA NA NA NA 0.00339557074632169 26 9.25880053945449 0.00117183233080355
"sub1" -67.622662627351 1 137.245325254702 0.116609302737878 -1.30325594478582 NA NA NA 0.0946503311478337 26 9.25880053945449 0.00117183233080355
"sub2" -66.6700861954066 2 137.340172390813 0.111208351901277 NA 0.198295939050063 -1.55837454327271 NA 0.0902664460443731 26 9.25880053945449 0.00117183233080355
"metanoise" -65.4737364024464 1 132.947472804893 1 NA NA NA 0.543594767814491 0.811687652061472 26 9.25880053945449 0.00117183233080355
"bayes" -127.755665024681 0 255.511330049362 0.184949965789241 NA NA NA NA 0.150342676186273 31 14.2145429177442 8.1552542282082e-05
"sub1" -130.970447216734 1 263.940894433468 0.00273273555215499 -1.07122821738499 NA NA NA 0.0022213941725652 31 14.2145429177442 8.1552542282082e-05
"sub2" -127.226088807723 2 258.452177615446 0.0425066931861447 NA 0.395638802385097 -1.55601651640268 NA 0.0345529667019033 31 14.2145429177442 8.1552542282082e-05
"metanoise" -125.067995079004 1 252.135990158008 1 NA NA NA 0.733572131545381 0.812882962939258 31 14.2145429177442 8.1552542282082e-05
"bayes" -128.893391668858 0 257.786783337716 0.0118409953734403 NA NA NA NA 0.00996719868131702 32 35.4324473727459 1.32025611923315e-09
"sub1" -133.25314759617 1 268.50629519234 5.5676995046482e-05 -1.10426320294064 NA NA NA 4.68663025451177e-05 32 35.4324473727459 1.32025611923315e-09
"sub2" -124.193909337929 2 252.387818675857 0.176099649570552 NA 0.494154863890653 -1.88495055094218 NA 0.148232487187438 32 35.4324473727459 1.32025611923315e-09
"metanoise" -123.457204084501 1 248.914408169002 1 NA NA NA 0.659648836414016 0.8417534478287 32 35.4324473727459 1.32025611923315e-09
"bayes" -216.725759096486 0 433.451518192972 5.25785896769335e-13 NA NA NA NA 4.25963445137683e-13 35 17.4347116544444 1.48673056098308e-05
"sub1" -195.675171816946 1 393.350343633891 0.000268329454161739 -1.41270006610991 NA NA NA 0.00021738608705359 35 17.4347116544444 1.48673056098308e-05
"sub2" -186.451876791087 2 376.903753582174 1 NA 0.280228474844291 -1.89888384108517 NA 0.810146197824997 35 17.4347116544444 1.48673056098308e-05
"metanoise" -188.903982874259 1 379.807965748517 0.234076783420871 NA NA NA 0.463044222265976 0.189636416087524 35 17.4347116544444 1.48673056098308e-05
"bayes" -275.452245253749 0 550.904490507498 2.5519896391311e-29 NA NA NA NA 2.55198963912424e-29 36 1.45592550766378 0.886210235313328
"sub1" -252.615824686339 1 507.231649372678 7.76811889051574e-20 -1.3425547886022 NA NA NA 7.76811889049485e-20 36 1.45592550766378 0.886210235313328
"sub2" -207.614150862494 2 419.228301724988 1 NA 0.368932231054596 -7.96465953193184 NA 0.999999999997311 36 1.45592550766378 0.886210235313328
"metanoise" -235.255967885751 1 472.511935771503 2.68909335128959e-12 NA NA NA 0.309595595569289 2.68909335128236e-12 36 1.45592550766378 0.886210235313328
"bayes" -149.651182029596 0 299.302364059193 0.856864268203352 NA NA NA NA 0.405788117916249 37 31.1251292764123 1.20959582323781e-08
"sub1" -153.444026278208 1 308.888052556415 0.00710241791359565 -0.706337739947933 NA NA NA 0.00336351614224233 37 31.1251292764123 1.20959582323781e-08
"sub2" -148.892491793303 2 301.784983586607 0.247638435795962 NA 0.54666475588134 -1.1559227941018 NA 0.117274974012009 37 31.1251292764123 1.20959582323781e-08
"metanoise" -148.496706276509 1 298.993412553018 1 NA NA NA 1.23769186441994 0.473573391929499 37 31.1251292764123 1.20959582323781e-08
"bayes" -207.267079299866 0 414.534158599731 2.49296701203415e-06 NA NA NA NA 2.48933220952154e-06 41 12.1063053673788 0.000251258025267026
"sub1" -208.087837538113 1 418.175675076226 4.03618696990135e-07 -0.468537353437466 NA NA NA 4.03030211764749e-07 41 12.1063053673788 0.000251258025267026
"sub2" -192.365042314119 2 388.730084628237 1 NA 1.21437670586659 -7.46988428146674 NA 0.998541977292493 41 12.1063053673788 0.000251258025267026
"metanoise" -199.896243025581 1 401.792486051163 0.00145725505604806 NA NA NA 1.96591252983947 0.00145513034508572 41 12.1063053673788 0.000251258025267026
"bayes" -197.115876095897 0 394.231752191794 8.31508953230231e-07 NA NA NA NA 8.31506405710552e-07 43 13.307295719356 0.000132187696283496
"sub1" -196.493919663518 1 394.987839327037 5.69750473116522e-07 -0.889142079036724 NA NA NA 5.69748727554389e-07 43 13.307295719356 0.000132187696283496
"sub2" -181.115852325091 2 366.231704650181 1 NA 0.770461944207121 -8.31795786248819 NA 0.999996936269094 43 13.307295719356 0.000132187696283496
"metanoise" -195.423051898824 1 392.846103797649 1.66248086586968e-06 NA NA NA 0.744370723236402 1.66247577247567e-06 43 13.307295719356 0.000132187696283496
"bayes" -222.64530067259 0 445.29060134518 3.33630143336638e-16 NA NA NA NA 2.43754640260359e-16 44 3.4539356311996 0.0315506748359912
"sub1" -186.008802022823 1 374.017604045647 1 -0.470955933646407 NA NA NA 0.730613360719048 44 3.4539356311996 0.0315506748359912
"sub2" -186.008802022823 2 376.017604045647 0.367879441171442 NA 0 -0.470955945292985 NA 0.268777634853713 44 3.4539356311996 0.0315506748359912
"metanoise" -193.098616165955 1 388.197232331909 0.000833552272626231 NA NA NA 3.51252310996986 0.000609004427238451 44 3.4539356311996 0.0315506748359912
"bayes" -176.931876898049 0 353.863753796097 1.3460082083717e-25 NA NA NA NA 1.34600749461774e-25 48 0.0461587776471845 0.585056282645764
"sub1" -153.692056187974 1 309.384112375949 6.13308694222313e-16 -1.45985422661833 NA NA NA 6.1330836900029e-16 48 0.0461587776471845 0.585056282645764
"sub2" -117.664392902746 2 239.328785805492 1 NA 0.235794844970856 -7.96913478762774 NA 0.999999469725399 48 0.0461587776471845 0.585056282645764
"metanoise" -133.114263223297 1 268.228526446594 5.30274881478303e-07 NA NA NA 0.197333502572171 5.30274600287002e-07 48 0.0461587776471845 0.585056282645764
"bayes" -136.437050121059 0 272.874100242118 0.000501441695548184 NA NA NA NA 0.000278693044804343 50 36.3895192712113 8.07848519775121e-10
"sub1" -137.598430580511 1 277.196861161022 5.77490489615443e-05 -0.399440245972774 NA NA NA 3.20959713413009e-05 50 36.3895192712113 8.07848519775121e-10
"sub2" -126.839026903615 2 257.678053807229 1 NA 1.08993039608494 -1.43905150649902 NA 0.555783548274085 50 36.3895192712113 8.07848519775121e-10
"metanoise" -128.06379375192 1 258.127587503839 0.798702415874422 NA NA NA 1.98121453814841 0.44390566270977 50 36.3895192712113 8.07848519775121e-10
