id_sess;block;trial;dual;lines_first;decision;task;side;coherence;mu;meanTilt;sdTilt;tOn;tOff;rr;acc;tResp;id;seq;session;signed_mu;signed_coherence;s;sign_s
01zj01;1;1;0;1;1;orientation;-1;NA;9.8106;-8.377;15.0393;1131685.4732;1131685.7779;0;1;0.1818;1;1;1;-9.8106;NA;-3.2525100694418;-1
01zj01;1;1;0;1;2;motion;-1;0.7772;NA;NA;NA;1131686.4905;1131686.9105;1;0;0.2173;1;1;1;NA;-0.7772;-5.78272461647643;-1
01zj01;1;2;0;1;1;orientation;-1;NA;10.9888;-10.5783;13.7069;1131689.4862;1131689.7906;0;1;0.2651;1;1;1;-10.9888;NA;-3.64758906341906;-1
01zj01;1;2;0;1;2;motion;-1;0.4007;NA;NA;NA;1131690.5674;1131690.9803;1;0;0.1955;1;1;1;NA;-0.4007;-2.78258025717172;-1
01zj01;1;3;0;1;1;orientation;1;NA;8.5804;8.8957;13.8581;1131693.6577;1131693.9619;1;1;0.2695;1;1;1;8.5804;NA;2.91443762894203;1
01zj01;1;3;0;1;2;motion;-1;0.7401;NA;NA;NA;1131694.7433;1131695.1468;0;1;0.1729;1;1;1;NA;-0.7401;-5.48709286154893;-1
01zj01;1;4;0;1;1;orientation;1;NA;0.8159;1.5254;15.3832;1131697.5854;1131697.8874;0;0;0.232;1;1;1;0.8159;NA;0.31081273610851;1
01zj01;1;4;0;1;2;motion;-1;0.6604;NA;NA;NA;1131698.6124;1131698.9633;0;1;0.2764;1;1;1;NA;-0.6604;-4.85200254166424;-1
01zj01;1;5;0;1;1;orientation;1;NA;9.8115;10.8135;15.8409;1131701.6938;1131701.9958;1;1;0.3636;1;1;1;9.8115;NA;3.32725527406629;1
01zj01;1;5;0;1;2;motion;-1;0.4852;NA;NA;NA;1131702.9485;1131703.2993;0;1;0.4044;1;1;1;NA;-0.4852;-3.45591942944595;-1
01zj01;1;6;0;1;1;orientation;1;NA;11.6238;12.4026;16.309;1131705.6801;1131705.983;1;1;0.2808;1;1;1;11.6238;NA;3.93496335485477;1
01zj01;1;6;0;1;2;motion;1;0.6824;NA;NA;NA;1131706.7883;1131707.1355;1;1;0.2003;1;1;1;NA;0.6824;5.84811391431019;1
01zj01;1;7;0;1;1;orientation;-1;NA;8.3889;-7.0372;14.0371;1131709.8554;1131710.1574;0;1;0.202;1;1;1;-8.3889;NA;-2.7757796283134;-1
01zj01;1;7;0;1;2;motion;1;0.4807;NA;NA;NA;1131710.8697;1131711.2182;1;1;0.3415;1;1;1;NA;0.4807;4.24086526285797;1
01zj01;1;8;0;1;1;orientation;1;NA;2.661;2.2895;15.0643;1131713.8821;1131714.1842;0;0;0.1435;1;1;1;2.661;NA;0.929519451256571;1
01zj01;1;8;0;1;2;motion;1;0.6757;NA;NA;NA;1131714.8367;1131715.1847;1;1;0.343;1;1;1;NA;0.6757;5.79472489118312;1
01zj01;1;9;0;1;1;orientation;1;NA;5.8415;9.3743;16.6165;1131717.9903;1131718.2922;1;1;0.1955;1;1;1;5.8415;NA;1.99601812749548;1
01zj01;1;9;0;1;2;motion;-1;0.7369;NA;NA;NA;1131719.0283;1131719.3789;0;1;0.2285;1;1;1;NA;-0.7369;-5.46159362662257;-1
01zj01;1;10;0;1;1;orientation;-1;NA;3.6762;-2.9783;15.1954;1131721.9969;1131722.2988;0;1;0.1889;1;1;1;-3.6762;NA;-1.19549718482619;-1
01zj01;1;10;0;1;2;motion;1;0.4244;NA;NA;NA;1131722.9964;1131723.3454;1;1;0.4543;1;1;1;NA;0.4244;3.7922380983723;1
01zj01;1;11;0;1;1;orientation;1;NA;1.2676;0.9579;14.9216;1131725.8965;1131726.2019;0;0;0.3497;1;1;1;1.2676;NA;0.462278685505496;1
01zj01;1;11;0;1;2;motion;1;0.3089;NA;NA;NA;1131727.0634;1131727.4742;1;1;0.2934;1;1;1;NA;0.3089;2.87187508774894;1
01zj01;1;12;0;1;1;orientation;-1;NA;4.0526;-3.9444;15.2977;1131729.6855;1131729.9875;0;1;0.2761;1;1;1;-4.0526;NA;-1.3217132205867;-1
01zj01;1;12;0;1;2;motion;1;0.4648;NA;NA;NA;1131730.7564;1131731.1028;1;1;0.3769;1;1;1;NA;0.4648;4.11416593931761;1
01zj01;1;13;0;1;1;orientation;-1;NA;3.7346;-3.4886;16.5789;1131733.9783;1131734.2815;0;1;0.5259;1;1;1;-3.7346;NA;-1.21508011917373;-1
01zj01;1;13;0;1;2;motion;1;0.7546;NA;NA;NA;1131735.3328;1131735.6812;1;1;0.3105;1;1;1;NA;0.7546;6.42344040233623;1
01zj01;1;14;0;1;1;orientation;1;NA;5.0814;5.5926;14.2213;1131738.5986;1131738.9006;1;1;0.4991;1;1;1;5.0814;NA;1.741138189181;1
01zj01;1;14;0;1;2;motion;1;0.7399;NA;NA;NA;1131739.8924;1131740.2445;1;1;0.3231;1;1;1;NA;0.7399;6.30630329189325;1
01zj01;1;15;0;1;1;orientation;-1;NA;3.0968;-4.3176;15.2644;1131742.7321;1131743.0341;0;1;0.2536;1;1;1;-3.0968;NA;-1.00121033275487;-1
01zj01;1;15;0;1;2;motion;1;0.1056;NA;NA;NA;1131743.7805;1131744.1309;1;1;0.3889;1;1;1;NA;0.1056;1.25187681883354;1
01zj01;1;16;0;1;1;orientation;-1;NA;3.4688;-3.0406;15.132;1131746.7771;1131747.0803;0;1;0.2393;1;1;1;-3.4688;NA;-1.12595094195495;-1
01zj01;1;16;0;1;2;motion;1;0.6423;NA;NA;NA;1131747.8284;1131748.1775;1;1;0.3423;1;1;1;NA;0.6423;5.52857662663923;1
01zj01;1;17;0;1;1;orientation;1;NA;1.1845;0.0885;14.0653;1131750.9323;1131751.2343;0;0;0.2934;1;1;1;1.1845;NA;0.434413242966445;1
01zj01;1;17;0;1;2;motion;1;0.7564;NA;NA;NA;1131752.0683;1131752.4161;1;1;0.2312;1;1;1;NA;0.7564;6.4377837219823;1
01zj01;1;18;0;1;1;orientation;-1;NA;2.0542;-2.6077;15.2071;1131755.104;1131755.4059;0;1;0.2818;1;1;1;-2.0542;NA;-0.651601302776347;-1
01zj01;1;18;0;1;2;motion;1;0.6227;NA;NA;NA;1131756.1643;1131756.5137;1;1;0.294;1;1;1;NA;0.6227;5.37239381271526;1
01zj01;1;19;0;1;1;orientation;-1;NA;10.5558;-9.4115;15.7394;1131759.1494;1131759.4514;0;1;0.156;1;1;1;-10.5558;NA;-3.50239367690391;-1
01zj01;1;19;0;1;2;motion;1;0.861;NA;NA;NA;1131760.1176;1131760.4657;1;1;0.214;1;1;1;NA;0.861;7.27128996363774;1
01zj01;1;20;0;1;1;orientation;-1;NA;5.139;-4.7696;15.2307;1131763.0513;1131763.3532;0;1;0.1422;1;1;1;-5.139;NA;-1.68600945132588;-1
01zj01;1;20;0;1;2;motion;1;0.1814;NA;NA;NA;1131763.9885;1131764.3344;1;1;0.2012;1;1;1;NA;0.1814;1.85588994615173;1
01zj01;1;21;0;1;1;orientation;1;NA;7.8689;7.8753;16.37;1131766.7829;1131767.0849;1;1;0.2028;1;1;1;7.8689;NA;2.67585444763595;1
01zj01;1;21;0;1;2;motion;-1;0.9115;NA;NA;NA;1131767.7962;1131768.1463;0;1;0.277;1;1;1;NA;-0.9115;-6.85289563229217;-1
01zj01;1;22;0;1;1;orientation;-1;NA;4.0846;-1.2734;14.3319;1131770.7305;1131771.0326;0;1;0.1911;1;1;1;-4.0846;NA;-1.33244359557166;-1
01zj01;1;22;0;1;2;motion;1;0.9118;NA;NA;NA;1131771.7171;1131772.0652;1;1;0.2784;1;1;1;NA;0.9118;7.67609031809373;1
01zj01;1;23;0;1;1;orientation;-1;NA;6.2166;-6.4224;14.7264;1131774.6738;1131774.9794;0;1;0.2923;1;1;1;-6.2166;NA;-2.04735482894419;-1
01zj01;1;23;0;1;2;motion;1;0.8316;NA;NA;NA;1131775.7858;1131776.2035;1;1;0.1721;1;1;1;NA;0.8316;7.0370157427518;1
01zj01;1;24;0;1;1;orientation;1;NA;11.4027;11.1922;15.0765;1131778.7835;1131779.0878;1;1;0.2159;1;1;1;11.4027;NA;3.86082317019311;1
01zj01;1;24;0;1;2;motion;-1;0.3012;NA;NA;NA;1131779.8487;1131780.2569;0;1;0.1987;1;1;1;NA;-0.3012;-1.98971342118016;-1
01zj01;1;25;0;1;1;orientation;-1;NA;11.757;-10.6671;14.1617;1131782.6604;1131782.9655;0;1;0.1622;1;1;1;-11.757;NA;-3.9051851279016;-1
01zj01;1;25;0;1;2;motion;1;0.8596;NA;NA;NA;1131783.623;1131784.0375;1;1;0.2262;1;1;1;NA;0.8596;7.26013404835746;1
01zj01;1;26;0;1;1;orientation;1;NA;1.5981;0.1193;15.241;1131786.5508;1131786.8548;0;0;0.3049;1;1;1;1.5981;NA;0.573103339646971;1
01zj01;1;26;0;1;2;motion;-1;0.0793;NA;NA;NA;1131787.671;1131788.0873;1;0;0.3681;1;1;1;NA;-0.0793;-0.221500849255286;-1
01zj01;1;27;0;1;1;orientation;1;NA;7.1323;6.2777;14.6921;1131790.6277;1131790.9318;1;1;0.2599;1;1;1;7.1323;NA;2.42885462845105;1
01zj01;1;27;0;1;2;motion;1;0.2477;NA;NA;NA;1131791.7534;1131792.1706;1;1;0.3011;1;1;1;NA;0.2477;2.38420221978228;1
01zj01;1;28;0;1;1;orientation;-1;NA;9.35;-11.2033;14.2323;1131794.3932;1131794.6982;0;1;0.2854;1;1;1;-9.35;NA;-3.09805973450212;-1
01zj01;1;28;0;1;2;motion;1;0.5043;NA;NA;NA;1131795.495;1131795.9035;1;1;0.2318;1;1;1;NA;0.5043;4.42892212043989;1
01zj01;1;29;0;1;1;orientation;1;NA;11.7966;11.0919;14.2731;1131798.3418;1131798.648;1;1;0.2556;1;1;1;11.7966;NA;3.99290737977352;1
