"model" "logLik" "n_par" "AIC" "relModLik" "fixed_shift" "w1" "theta2" "m" "w" "id" "acc.stat" "acc.p.value"
"bayes" -440.422577109386 0 880.845154218771 1.34329998669527e-70 NA NA NA NA 9.82022497866647e-71 1 10.4181431608788 0.99937608352983
"sub1" -278.536749862985 1 559.073499725969 1 -5.34942442079943e-09 NA NA NA 0.731052265013847 1 10.4181431608788 0.99937608352983
"sub2" -278.536749463412 2 561.073498926824 0.367879588166047 NA 1.33942594731787 0 NA 0.26893920618115 1 10.4181431608788 0.99937608352983
"metanoise" -289.895540838882 1 581.791081677763 1.16664777760672e-05 NA NA NA 10 8.52880500292762e-06 1 10.4181431608788 0.99937608352983
"bayes" -204.357811231387 0 408.715622462774 2.21220685915457e-12 NA NA NA NA 1.09181473773948e-12 2 18.9681243573459 6.64602915369875e-06
"sub1" -176.520780711543 1 355.041561423085 1 -0.307104237171299 NA NA NA 0.493540978422214 2 18.9681243573459 6.64602915369875e-06
"sub2" -176.44234523661 2 356.88469047322 0.397896035535961 NA 0.283255210507829 -0.374336821470516 NA 0.196377998688738 2 18.9681243573459 6.64602915369875e-06
"metanoise" -176.985552975801 1 355.971105951603 0.628278170293466 NA NA NA 4.25516752552526 0.310081022887956 2 18.9681243573459 6.64602915369875e-06
"bayes" -282.616842142411 0 565.233684284822 1.13843750080826e-23 NA NA NA NA 5.06429051668988e-24 4 0.0456083007107293 0.584555292395698
"sub1" -228.878784875247 1 459.757569750495 0.912339442192791 -0.23766077759609 NA NA NA 0.405850297606919 4 0.0456083007107293 0.584555292395698
"sub2" -228.878784875247 2 461.757569750495 0.335630924152549 NA 0 -0.237660779911953 NA 0.149303980682897 4 0.0456083007107293 0.584555292395698
"metanoise" -228.787041712479 1 459.574083424958 1 NA NA NA 5.3489638876928 0.444845721710184 4 0.0456083007107293 0.584555292395698
"bayes" -104.259899798546 0 208.519799597092 2.21437924104174e-11 NA NA NA NA 2.04874895128843e-11 6 20.302865880728 3.30507498168465e-06
"sub1" -82.3612090771748 1 166.72241815435 0.0263899192142929 -1.74994186541486 NA NA NA 0.0244160161515214 6 20.302865880728 3.30507498168465e-06
"sub2" -80.6368223537771 2 165.273644707554 0.0544546809031514 NA 0.159254964914181 -2.01930317600889 NA 0.0503816005521226 6 20.302865880728 3.30507498168465e-06
"metanoise" -78.726435887479 1 159.452871774958 1 NA NA NA 0.416880155813092 0.925202383275868 6 20.302865880728 3.30507498168465e-06
"bayes" -126.467860593628 0 252.935721187257 0.235408461902478 NA NA NA NA 0.12584503372331 7 19.2683177474052 5.67877170799226e-06
"sub1" -126.578254780968 1 255.156509561936 0.0775503927240564 -0.66871133563407 NA NA NA 0.0414570135191561 7 19.2683177474052 5.67877170799226e-06
"sub2" -123.021427455736 2 250.042854911472 1 NA 0.914459743838741 -1.84964816555016 NA 0.534581606397152 7 19.2683177474052 5.67877170799226e-06
"metanoise" -124.60542801822 1 251.210856036441 0.557662932642889 NA NA NA 1.45399807744793 0.298116346360382 7 19.2683177474052 5.67877170799226e-06
"bayes" -107.433890789473 0 214.867781578945 0.000138742048767426 NA NA NA NA 9.30060945240795e-05 8 27.8857369766461 6.43474759858965e-08
"sub1" -102.219924992073 1 206.439849984146 0.00938231902452356 -0.486932772600733 NA NA NA 0.00628946204702996 8 27.8857369766461 6.43474759858965e-08
"sub2" -97.2803283558106 2 198.560656711621 0.48223116739498 NA 0.804237873195132 -0.905159629441693 NA 0.32326492174249 8 27.8857369766461 6.43474759858965e-08
"metanoise" -97.5509966763121 1 197.101993352624 1 NA NA NA 2.21397464432989 0.670352610115956 8 27.8857369766461 6.43474759858965e-08
"bayes" -241.380583039664 0 482.761166079329 9.52305146424468e-09 NA NA NA NA 5.27427140869194e-09 10 12.1668326670369 0.000243234216500207
"sub1" -222.735688091125 1 447.47137618225 0.438385964560977 -0.442649320075459 NA NA NA 0.242796814396843 10 12.1668326670369 0.000243234216500207
"sub2" -220.91103253212 2 445.822065064241 1 NA 0.459503651094873 -0.63903963471325 NA 0.553842581707634 10 12.1668326670369 0.000243234216500207
"metanoise" -222.912932278858 1 447.825864557716 0.36718122682846 NA NA NA 2.42037201434237 0.203360598621251 10 12.1668326670369 0.000243234216500207
"bayes" -156.434285819785 0 312.86857163957 0.00125875994575069 NA NA NA NA 0.00119412140888899 11 17.3563680192848 1.54929140324347e-05
"sub1" -160.005327287806 1 322.010654575613 1.30246130282087e-05 -0.526061701579059 NA NA NA 1.23557865913848e-05 11 17.3563680192848 1.54929140324347e-05
"sub2" -147.756657607114 2 299.513315214228 1 NA 1.06691400775834 -2.13451950554607 NA 0.948649035838883 11 17.3563680192848 1.54929140324347e-05
"metanoise" -151.696787934602 1 305.393575869204 0.0528588393296514 NA NA NA 1.65420703619089 0.0501444869656363 11 17.3563680192848 1.54929140324347e-05
"bayes" -161.9484224018 0 323.8968448036 0.00562293038313315 NA NA NA NA 0.00273482156667516 14 15.7650238839127 3.58580659687019e-05
"sub1" -157.570919630248 1 317.141839260495 0.164737899008218 -0.576332415707243 NA NA NA 0.0801234815938427 14 15.7650238839127 3.58580659687019e-05
"sub2" -154.767520071317 2 313.535040142635 1 NA 0.709060533698426 -1.09377817386564 NA 0.486369451572561 14 15.7650238839127 3.58580659687019e-05
"metanoise" -155.888909077664 1 313.777818155327 0.88568935379087 NA NA NA 1.78746255294979 0.430772245266921 14 15.7650238839127 3.58580659687019e-05
"bayes" -181.514478875784 0 363.028957751569 3.16159076828007e-18 NA NA NA NA 1.74414481245328e-18 15 17.7962985660007 1.22930536928182e-05
"sub1" -140.219022510507 1 282.438045021013 1 -0.143309584486293 NA NA NA 0.551666847573097 15 17.7962985660007 1.22930536928182e-05
"sub2" -140.219022510507 2 284.438045021013 0.367879441171442 NA 0 -0.143309585166076 NA 0.202946891598002 15 17.7962985660007 1.22930536928182e-05
"metanoise" -141.02913329371 1 284.058266587419 0.444808786151293 NA NA NA 10 0.2453862608289 15 17.7962985660007 1.22930536928182e-05
"bayes" -141.22339989472 0 282.446799789439 0.255733524329522 NA NA NA NA 0.16155550786257 16 32.2024880588717 6.9456377159218e-09
"sub1" -145.824575197418 1 293.649150394836 0.000944556927769064 -0.76481016500033 NA NA NA 0.00059670852529374 16 32.2024880588717 6.9456377159218e-09
"sub2" -138.979819284346 2 281.959638568692 0.326267172129343 NA 0.791552493355929 -1.47774245140607 NA 0.206113996318767 16 32.2024880588717 6.9456377159218e-09
"metanoise" -138.859780597495 1 279.71956119499 1 NA NA NA 1.35897004767232 0.631733787293369 16 32.2024880588717 6.9456377159218e-09
