Subject,File,Task,Trial_ID,Status
sub24,czy1_sess2,task1,0,OK
sub24,czy1_sess2,task1,1,OK
sub24,czy1_sess2,task1,2,OK
sub24,czy1_sess2,task1,3,OK
sub24,czy1_sess2,task1,4,OK
sub24,czy1_sess2,task1,5,OK
sub24,czy1_sess2,task1,6,OK
sub24,czy1_sess2,task1,7,OK
sub24,czy1_sess2,task1,8,OK
sub24,czy1_sess2,task1,9,OK
sub24,czy1_sess2,task1,10,OK
sub24,czy1_sess2,task1,11,OK
sub24,czy1_sess2,task1,12,OK
sub24,czy1_sess2,task1,13,OK
sub24,czy1_sess2,task1,14,OK
sub24,czy1_sess2,task1,15,OK
sub24,czy1_sess2,task1,16,OK
sub24,czy1_sess2,task1,17,OK
sub24,czy1_sess2,task1,18,OK
sub24,czy1_sess2,task1,19,OK
sub24,czy1_sess2,task1,20,OK
sub24,czy1_sess2,task1,21,OK
sub24,czy1_sess2,task1,22,OK
sub24,czy1_sess2,task1,23,OK
sub24,czy1_sess2,task1,24,OK
sub24,czy1_sess2,task1,25,OK
sub24,czy1_sess2,task1,26,OK
sub24,czy1_sess2,task1,27,OK
sub24,czy1_sess2,task1,28,OK
sub24,czy1_sess2,task1,29,OK
sub24,czy1_sess2,task1,30,OK
sub24,czy1_sess2,task1,31,Dropped_AutoReject
sub24,czy1_sess2,task1,32,OK
sub24,czy1_sess2,task1,33,OK
sub24,czy1_sess2,task1,34,OK
sub24,czy1_sess2,task1,35,OK
sub24,czy1_sess2,task1,36,OK
sub24,czy1_sess2,task1,37,OK
sub24,czy1_sess2,task1,38,OK
sub24,czy1_sess2,task1,39,OK
sub24,czy1_sess2,task1,40,OK
sub24,czy1_sess2,task1,41,OK
sub24,czy1_sess2,task1,42,OK
sub24,czy1_sess2,task1,43,OK
sub24,czy1_sess2,task1,44,OK
sub24,czy1_sess2,task1,45,OK
sub24,czy1_sess2,task1,46,OK
sub24,czy1_sess2,task1,47,OK
sub24,czy1_sess2,task1,48,OK
sub24,czy1_sess2,task1,49,OK
sub24,czy1_sess2,task1,50,OK
sub24,czy1_sess2,task1,51,OK
sub24,czy1_sess2,task1,52,OK
sub24,czy1_sess2,task1,53,OK
sub24,czy1_sess2,task1,54,OK
sub24,czy1_sess2,task1,55,OK
sub24,czy1_sess2,task1,56,OK
sub24,czy1_sess2,task1,57,OK
sub24,czy1_sess2,task1,58,OK
sub24,czy1_sess2,task1,59,OK
sub24,czy1_sess2,task1,60,OK
sub24,czy1_sess2,task1,61,OK
sub24,czy1_sess2,task1,62,OK
sub24,czy1_sess2,task1,63,OK
sub24,czy1_sess2,task1,64,OK
sub24,czy1_sess2,task1,65,OK
sub24,czy1_sess2,task1,66,OK
sub24,czy1_sess2,task1,67,OK
sub24,czy1_sess2,task1,68,OK
sub24,czy1_sess2,task1,69,OK
sub24,czy1_sess2,task1,70,OK
sub24,czy1_sess2,task1,71,OK
sub24,czy1_sess2,task1,72,OK
sub24,czy1_sess2,task1,73,OK
sub24,czy1_sess2,task1,74,OK
sub24,czy1_sess2,task1,75,OK
sub24,czy1_sess2,task1,76,OK
sub24,czy1_sess2,task1,77,OK
sub24,czy1_sess2,task1,78,OK
sub24,czy1_sess2,task1,79,OK
sub24,czy1_sess2,task1,80,OK
sub24,czy1_sess2,task1,81,OK
sub24,czy1_sess2,task1,82,OK
sub24,czy1_sess2,task1,83,OK
sub24,czy1_sess2,task1,84,OK
sub24,czy1_sess2,task1,85,OK
sub24,czy1_sess2,task1,86,OK
sub24,czy1_sess2,task1,87,OK
sub24,czy1_sess2,task1,88,OK
sub24,czy1_sess2,task1,89,OK
sub24,czy1_sess2,task1,90,OK
sub24,czy1_sess2,task1,91,OK
sub24,czy1_sess2,task1,92,OK
sub24,czy1_sess2,task1,93,OK
sub24,czy1_sess2,task1,94,OK
sub24,czy1_sess2,task1,95,OK
sub24,czy1_sess2,task1,96,OK
sub24,czy1_sess2,task1,97,OK
sub24,czy1_sess2,task1,98,OK
sub24,czy1_sess2,task1,99,OK
sub24,czy1_sess2,task1,100,OK
sub24,czy1_sess2,task1,101,OK
sub24,czy1_sess2,task1,102,OK
sub24,czy1_sess2,task1,103,OK
sub24,czy1_sess2,task1,104,OK
sub24,czy1_sess2,task1,105,OK
sub24,czy1_sess2,task1,106,OK
sub24,czy1_sess2,task1,107,OK
sub24,czy1_sess2,task1,108,OK
sub24,czy1_sess2,task1,109,OK
sub24,czy1_sess2,task1,110,OK
sub24,czy1_sess2,task1,111,OK
sub24,czy1_sess2,task1,112,OK
sub24,czy1_sess2,task1,113,OK
sub24,czy1_sess2,task1,114,OK
sub24,czy1_sess2,task1,115,OK
sub24,czy1_sess2,task1,116,OK
sub24,czy1_sess2,task1,117,OK
sub24,czy1_sess2,task1,118,OK
sub24,czy1_sess2,task1,119,OK
sub24,czy1_sess2,task1,120,OK
sub24,czy1_sess2,task1,121,OK
sub24,czy1_sess2,task1,122,OK
sub24,czy1_sess2,task1,123,OK
sub24,czy1_sess2,task1,124,OK
sub24,czy1_sess2,task1,125,OK
sub24,czy1_sess2,task1,126,OK
sub24,czy1_sess2,task1,127,OK
sub24,czy1_sess2,task1,128,OK
sub24,czy1_sess2,task1,129,OK
sub24,czy1_sess2,task1,130,OK
sub24,czy1_sess2,task1,131,OK
sub24,czy1_sess2,task1,132,OK
sub24,czy1_sess2,task1,133,OK
sub24,czy1_sess2,task1,134,OK
sub24,czy1_sess2,task1,135,OK
sub24,czy1_sess2,task1,136,OK
sub24,czy1_sess2,task1,137,OK
sub24,czy1_sess2,task1,138,OK
sub24,czy1_sess2,task1,139,OK
sub24,czy1_sess2,task1,140,OK
sub24,czy1_sess2,task1,141,OK
sub24,czy1_sess2,task1,142,OK
sub24,czy1_sess2,task1,143,OK
sub24,czy1_sess2,task1,144,OK
sub24,czy1_sess2,task1,145,OK
sub24,czy1_sess2,task1,146,OK
sub24,czy1_sess2,task1,147,OK
sub24,czy1_sess2,task1,148,OK
sub24,czy1_sess2,task1,149,OK
sub24,czy1_sess2,task1,150,OK
sub24,czy1_sess2,task1,151,OK
sub24,czy1_sess2,task1,152,OK
sub24,czy1_sess2,task1,153,OK
sub24,czy1_sess2,task1,154,OK
sub24,czy1_sess2,task1,155,OK
sub24,czy1_sess2,task1,156,OK
sub24,czy1_sess2,task1,157,OK
sub24,czy1_sess2,task1,158,OK
sub24,czy1_sess2,task1,159,OK
sub24,czy1_sess2,task1,160,OK
sub24,czy1_sess2,task1,161,OK
sub24,czy1_sess2,task1,162,OK
sub24,czy1_sess2,task1,163,OK
sub24,czy1_sess2,task1,164,OK
sub24,czy1_sess2,task1,165,OK
sub24,czy1_sess2,task1,166,OK
sub24,czy1_sess2,task1,167,OK
sub24,czy1_sess2,task1,168,OK
sub24,czy1_sess2,task1,169,OK
sub24,czy1_sess2,task1,170,OK
sub24,czy1_sess2,task1,171,OK
sub24,czy1_sess2,task1,172,OK
sub24,czy1_sess2,task1,173,OK
sub24,czy1_sess2,task1,174,OK
sub24,czy1_sess2,task1,175,OK
sub24,czy1_sess2,task1,176,OK
sub24,czy1_sess2,task1,177,OK
sub24,czy1_sess2,task1,178,OK
sub24,czy1_sess2,task1,179,OK
sub24,czy1_sess2,task1,180,OK
sub24,czy1_sess2,task1,181,OK
sub24,czy1_sess2,task1,182,OK
sub24,czy1_sess2,task1,183,OK
sub24,czy1_sess2,task1,184,OK
sub24,czy1_sess2,task1,185,OK
sub24,czy1_sess2,task1,186,OK
sub24,czy1_sess2,task1,187,OK
sub24,czy1_sess2,task1,188,OK
sub24,czy1_sess2,task1,189,OK
sub24,czy1_sess2,task1,190,OK
sub24,czy1_sess2,task1,191,OK
sub24,czy1_sess2,task1,192,OK
sub24,czy1_sess2,task1,193,OK
sub24,czy1_sess2,task1,194,OK
sub24,czy1_sess2,task1,195,OK
sub24,czy1_sess2,task1,196,OK
sub24,czy1_sess2,task1,197,OK
sub24,czy1_sess2,task1,198,OK
sub24,czy1_sess2,task1,199,OK
sub24,czy1_sess2,task1,200,OK
sub24,czy1_sess2,task1,201,OK
sub24,czy1_sess2,task1,202,OK
sub24,czy1_sess2,task1,203,OK
sub24,czy1_sess2,task1,204,OK
sub24,czy1_sess2,task1,205,OK
sub24,czy1_sess2,task1,206,OK
sub24,czy1_sess2,task1,207,OK
sub24,czy1_sess2,task1,208,OK
sub24,czy1_sess2,task1,209,OK
sub24,czy1_sess2,task1,210,OK
sub24,czy1_sess2,task1,211,OK
sub24,czy1_sess2,task1,212,OK
sub24,czy1_sess2,task1,213,OK
sub24,czy1_sess2,task1,214,OK
sub24,czy1_sess2,task1,215,OK
sub24,czy1_sess2,task1,216,OK
sub24,czy1_sess2,task1,217,OK
sub24,czy1_sess2,task1,218,OK
sub24,czy1_sess2,task1,219,OK
sub24,czy1_sess2,task1,220,OK
sub24,czy1_sess2,task1,221,OK
sub24,czy1_sess2,task1,222,OK
sub24,czy1_sess2,task1,223,OK
sub24,czy1_sess2,task1,224,OK
sub24,czy1_sess2,task1,225,OK
sub24,czy1_sess2,task1,226,OK
sub24,czy1_sess2,task1,227,OK
sub24,czy1_sess2,task1,228,OK
sub24,czy1_sess2,task1,229,OK
sub24,czy1_sess2,task1,230,OK
sub24,czy1_sess2,task1,231,OK
sub24,czy1_sess2,task1,232,OK
sub24,czy1_sess2,task1,233,OK
sub24,czy1_sess2,task1,234,OK
sub24,czy1_sess2,task1,235,OK
sub24,czy1_sess2,task1,236,OK
sub24,czy1_sess2,task1,237,OK
sub24,czy1_sess2,task1,238,OK
sub24,czy1_sess2,task1,239,OK
sub24,czy1_sess2,task1,240,OK
sub24,czy1_sess2,task1,241,OK
sub24,czy1_sess2,task1,242,OK
sub24,czy1_sess2,task1,243,OK
sub24,czy1_sess2,task1,244,OK
sub24,czy1_sess2,task1,245,OK
sub24,czy1_sess2,task1,246,OK
sub24,czy1_sess2,task1,247,OK
sub24,czy1_sess2,task1,248,OK
sub24,czy1_sess2,task1,249,OK
sub24,czy1_sess2,task1,250,OK
sub24,czy1_sess2,task1,251,OK
sub24,czy1_sess2,task1,252,OK
sub24,czy1_sess2,task1,253,OK
sub24,czy1_sess2,task1,254,OK
sub24,czy1_sess2,task1,255,OK
sub24,czy1_sess2,task1,256,OK
sub24,czy1_sess2,task1,257,OK
sub24,czy1_sess2,task1,258,OK
sub24,czy1_sess2,task1,259,OK
sub24,czy1_sess2,task1,260,OK
sub24,czy1_sess2,task1,261,OK
sub24,czy1_sess2,task1,262,OK
sub24,czy1_sess2,task1,263,OK
sub24,czy1_sess2,task1,264,OK
sub24,czy1_sess2,task1,265,OK
sub24,czy1_sess2,task1,266,OK
sub24,czy1_sess2,task1,267,OK
sub24,czy1_sess2,task1,268,OK
sub24,czy1_sess2,task1,269,OK
sub24,czy1_sess2,task1,270,OK
sub24,czy1_sess2,task1,271,OK
sub24,czy1_sess2,task1,272,OK
sub24,czy1_sess2,task1,273,OK
sub24,czy1_sess2,task1,274,OK
sub24,czy1_sess2,task1,275,OK
sub24,czy1_sess2,task1,276,OK
sub24,czy1_sess2,task1,277,Dropped_AutoReject
sub24,czy1_sess2,task1,278,OK
sub24,czy1_sess2,task1,279,OK
sub24,czy1_sess2,task1,280,OK
sub24,czy1_sess2,task1,281,OK
sub24,czy1_sess2,task1,282,OK
sub24,czy1_sess2,task1,283,OK
sub24,czy1_sess2,task1,284,OK
sub24,czy1_sess2,task1,285,OK
sub24,czy1_sess2,task1,286,OK
sub24,czy1_sess2,task1,287,OK
