subject,id_sess,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct,P1,0.08,0.13,"O1,Oz,O2",2.4431380931326747
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-6.865466022646057
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error,P1,0.08,0.13,"O1,Oz,O2",2.233466484730771
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-8.487804424020538
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,left,P1,0.08,0.13,"O1,Oz,O2",2.427553295126984
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-7.700142600681195
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,right,P1,0.08,0.13,"O1,Oz,O2",2.4255267087636976
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-6.4986263973996365
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct_left,P1,0.08,0.13,"O1,Oz,O2",2.3409999127025976
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-7.565437722641721
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct_right,P1,0.08,0.13,"O1,Oz,O2",2.518296376845373
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-6.350392507554907
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error_left,P1,0.08,0.13,"O1,Oz,O2",3.8742312585060055
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-9.951638419340968
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error_right,P1,0.08,0.13,"O1,Oz,O2",1.5578574602350863
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-7.885049249476833
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct,P1,0.08,0.13,"O1,Oz,O2",0.5867207930603954
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-9.202686618292065
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error,P1,0.08,0.13,"O1,Oz,O2",-0.35547864091362275
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-10.12827207857574
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,left,P1,0.08,0.13,"O1,Oz,O2",0.30826898332854846
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-9.961033573711488
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,right,P1,0.08,0.13,"O1,Oz,O2",0.3979623911563196
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-8.928496154459316
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct_left,P1,0.08,0.13,"O1,Oz,O2",0.5407500936010798
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-9.58815969171132
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct_right,P1,0.08,0.13,"O1,Oz,O2",0.6326914925197109
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-8.817213544872814
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error_left,P1,0.08,0.13,"O1,Oz,O2",-0.48780269730163517
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-11.237844139348423
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error_right,P1,0.08,0.13,"O1,Oz,O2",-0.24897391260132
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-9.235201883319684
