subject,id_sess,file,condition,n_trials
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct,276
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error,24
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,left,124
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,right,176
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct_left,117
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct_right,159
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error_left,7
sub18,18cl03,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error_right,17
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct,226
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error,74
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,left,146
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,right,154
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct_left,113
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct_right,113
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error_left,33
sub18,18cl04,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error_right,41
