task,condition,component,roi,group_mean_uV,group_std_uV,n_subjects
task1,correct,N1,"O1,Oz,O2",-0.5895255647640794,0.6508286372154524,10
task1,correct_left,N1,"O1,Oz,O2",-0.6578021685329914,0.7090375692448793,10
task1,correct_right,N1,"O1,Oz,O2",-0.551308367904714,0.6142552986342747,10
task1,error,N1,"O1,Oz,O2",-0.6650928720278703,0.6734686308683763,10
task1,error_left,N1,"O1,Oz,O2",-0.6489440857886061,0.8024984253625594,10
task1,error_right,N1,"O1,Oz,O2",-0.8018615556506553,1.1872385730332178,10
task1,left,N1,"O1,Oz,O2",-0.6524035925302696,0.6444958596755339,10
task1,right,N1,"O1,Oz,O2",-0.6155021892665702,0.649571724570714,10
task2,correct,N1,"O1,Oz,O2",-3.8019214658568563,2.1478396907131443,10
task2,correct_left,N1,"O1,Oz,O2",-3.62612879579761,2.5165301487553666,10
task2,correct_right,N1,"O1,Oz,O2",-3.784103639812524,2.1418671331278887,10
task2,error,N1,"O1,Oz,O2",-4.017921750188282,2.1145451379265467,10
task2,error_left,N1,"O1,Oz,O2",-3.6469871423264366,2.253203108367442,10
task2,error_right,N1,"O1,Oz,O2",-4.067028858821963,2.0905804625883335,10
task2,left,N1,"O1,Oz,O2",-3.8011756975551245,2.340361137623916,10
task2,right,N1,"O1,Oz,O2",-3.807694066662769,2.1361519858016624,10
