subject,task,id_sess,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.4583744453873096
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.3414183750370592
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.22883013752202988
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.6041502890628135
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.20923119479511595
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.6417062712947729
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.5564124659575905
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.25289139642272285
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-1.2273341974682725
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-1.14056654449292
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-1.2210186435897985
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-1.1916281230921761
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-1.177845558041597
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-1.2768228368949486
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-1.3688537547093977
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.9568231801723401
