subject,task,id_sess,file,condition,n_trials
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,correct,276
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,error,24
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,left,124
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,right,176
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,correct_left,117
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,correct_right,159
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,error_left,7
sub18,task1,18cl03,clean_epochs_response1_ICA_sub18_clr1_sess3-epo.fif,error_right,17
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,correct,226
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,error,74
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,left,146
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,right,154
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,correct_left,113
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,correct_right,113
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,error_left,33
sub18,task1,18cl04,clean_epochs_response1_ICA_sub18_clr1_sess4-epo.fif,error_right,41
sub19,task1,19ll03,clean_epochs_response1_ICA_sub19_llx1_sess3-epo.fif,correct,235
sub19,task1,19ll03,clean_epochs_response1_ICA_sub19_llx1_sess3-epo.fif,error,65
sub19,task1,19ll03,clean_epochs_response1_ICA_sub19_llx1_sess3-epo.fif,left,100
sub19,task1,19ll03,clean_epochs_response1_ICA_sub19_llx1_sess3-epo.fif,right,200
sub19,task1,19ll03,clean_epochs_response1_ICA_sub19_llx1_sess3-epo.fif,correct_left,91
sub19,task1,19ll03,clean_epochs_response1_ICA_sub19_llx1_sess3-epo.fif,correct_right,144
sub19,task1,19ll03,clean_epochs_response1_ICA_sub19_llx1_sess3-epo.fif,error_left,9
sub19,task1,19ll03,clean_epochs_response1_ICA_sub19_llx1_sess3-epo.fif,error_right,56
sub19,task1,19ll04,clean_epochs_response1_ICA_sub19_llx1_sess4-epo.fif,correct,257
sub19,task1,19ll04,clean_epochs_response1_ICA_sub19_llx1_sess4-epo.fif,error,43
sub19,task1,19ll04,clean_epochs_response1_ICA_sub19_llx1_sess4-epo.fif,left,142
sub19,task1,19ll04,clean_epochs_response1_ICA_sub19_llx1_sess4-epo.fif,right,158
sub19,task1,19ll04,clean_epochs_response1_ICA_sub19_llx1_sess4-epo.fif,correct_left,127
sub19,task1,19ll04,clean_epochs_response1_ICA_sub19_llx1_sess4-epo.fif,correct_right,130
sub19,task1,19ll04,clean_epochs_response1_ICA_sub19_llx1_sess4-epo.fif,error_left,15
sub19,task1,19ll04,clean_epochs_response1_ICA_sub19_llx1_sess4-epo.fif,error_right,28
sub20,task1,20py03,clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif,correct,260
sub20,task1,20py03,clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif,error,40
sub20,task1,20py03,clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif,left,148
sub20,task1,20py03,clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif,right,152
sub20,task1,20py03,clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif,correct_left,134
sub20,task1,20py03,clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif,correct_right,126
sub20,task1,20py03,clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif,error_left,14
sub20,task1,20py03,clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif,error_right,26
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,correct,239
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,error,61
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,left,154
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,right,146
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,correct_left,124
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,correct_right,115
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,error_left,30
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,error_right,31
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,correct,219
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,error,81
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,left,138
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,right,162
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,correct_left,102
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,correct_right,117
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,error_left,36
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,error_right,45
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,correct,248
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,error,52
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,left,141
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,right,159
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,correct_left,121
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,correct_right,127
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,error_left,20
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,error_right,32
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,correct,122
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,error,28
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,left,71
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,right,79
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,correct_left,55
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,correct_right,67
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,error_left,16
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,error_right,12
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,correct,111
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,error,39
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,left,112
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,right,38
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,correct_left,76
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,correct_right,35
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,error_left,36
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,error_right,3
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,correct,118
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,error,32
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,left,67
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,right,83
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,correct_left,54
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,correct_right,64
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,error_left,13
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,error_right,19
sub24,task1,24cz04,clean_epochs_response1_ICA_sub24_czy1_sess2-epo.fif,correct,125
sub24,task1,24cz04,clean_epochs_response1_ICA_sub24_czy1_sess2-epo.fif,error,25
sub24,task1,24cz04,clean_epochs_response1_ICA_sub24_czy1_sess2-epo.fif,left,66
sub24,task1,24cz04,clean_epochs_response1_ICA_sub24_czy1_sess2-epo.fif,right,84
sub24,task1,24cz04,clean_epochs_response1_ICA_sub24_czy1_sess2-epo.fif,correct_left,61
sub24,task1,24cz04,clean_epochs_response1_ICA_sub24_czy1_sess2-epo.fif,correct_right,64
sub24,task1,24cz04,clean_epochs_response1_ICA_sub24_czy1_sess2-epo.fif,error_left,5
sub24,task1,24cz04,clean_epochs_response1_ICA_sub24_czy1_sess2-epo.fif,error_right,20
sub25,task1,25cj03,clean_epochs_response1_ICA_sub25_cjb1_sess3-epo.fif,correct,244
sub25,task1,25cj03,clean_epochs_response1_ICA_sub25_cjb1_sess3-epo.fif,error,56
sub25,task1,25cj03,clean_epochs_response1_ICA_sub25_cjb1_sess3-epo.fif,left,147
sub25,task1,25cj03,clean_epochs_response1_ICA_sub25_cjb1_sess3-epo.fif,right,153
sub25,task1,25cj03,clean_epochs_response1_ICA_sub25_cjb1_sess3-epo.fif,correct_left,123
