subject,task,condition,component,roi,mean_amp_uV
sub18,task1,correct,N1,"O1,Oz,O2",-0.842854321427791
sub18,task1,correct_left,N1,"O1,Oz,O2",-0.6935383764183565
sub18,task1,correct_right,N1,"O1,Oz,O2",-0.9592645540948608
sub18,task1,error,N1,"O1,Oz,O2",-0.7409924597649896
sub18,task1,error_left,N1,"O1,Oz,O2",-0.9626331103334942
sub18,task1,error_right,N1,"O1,Oz,O2",-0.6048572882975315
sub18,task1,left,N1,"O1,Oz,O2",-0.7249243905559142
sub18,task1,right,N1,"O1,Oz,O2",-0.8978892060774948
sub19,task1,correct,N1,"O1,Oz,O2",0.04308937214760447
sub19,task1,correct_left,N1,"O1,Oz,O2",-0.2814806590585312
sub19,task1,correct_right,N1,"O1,Oz,O2",0.31154527828968037
sub19,task1,error,N1,"O1,Oz,O2",-0.5529433797611392
sub19,task1,error_left,N1,"O1,Oz,O2",-0.943305160191825
sub19,task1,error_right,N1,"O1,Oz,O2",-0.34869517058031047
sub19,task1,left,N1,"O1,Oz,O2",-0.3483261460351987
sub19,task1,right,N1,"O1,Oz,O2",0.1522942938366461
sub20,task1,correct,N1,"O1,Oz,O2",-0.6167674855592872
sub20,task1,correct_left,N1,"O1,Oz,O2",-0.6098120255810558
sub20,task1,correct_right,N1,"O1,Oz,O2",-0.6239520389941463
sub20,task1,error,N1,"O1,Oz,O2",-0.03087523537361527
sub20,task1,error_left,N1,"O1,Oz,O2",0.2696065193986325
sub20,task1,error_right,N1,"O1,Oz,O2",-0.19153643003500487
sub20,task1,left,N1,"O1,Oz,O2",-0.4992149023483404
sub20,task1,right,N1,"O1,Oz,O2",-0.5397160093075852
sub21,task1,correct,N1,"O1,Oz,O2",-0.409096283809853
sub21,task1,correct_left,N1,"O1,Oz,O2",-0.673317804868234
sub21,task1,correct_right,N1,"O1,Oz,O2",-0.1668343536603191
sub21,task1,error,N1,"O1,Oz,O2",-0.691274858898169
sub21,task1,error_left,N1,"O1,Oz,O2",-0.589934812066182
sub21,task1,error_right,N1,"O1,Oz,O2",-0.745271560612215
sub21,task1,left,N1,"O1,Oz,O2",-0.6551005104157666
sub21,task1,right,N1,"O1,Oz,O2",-0.28855495609684545
sub22,task1,correct,N1,"O1,Oz,O2",-0.19413845727634374
sub22,task1,correct_left,N1,"O1,Oz,O2",-0.036164115760848485
sub22,task1,correct_right,N1,"O1,Oz,O2",-0.4409068750919435
sub22,task1,error,N1,"O1,Oz,O2",-0.32718358778276624
sub22,task1,error_left,N1,"O1,Oz,O2",-0.4644035567212702
sub22,task1,error_right,N1,"O1,Oz,O2",0.6809168293752392
sub22,task1,left,N1,"O1,Oz,O2",-0.14147547284986406
sub22,task1,right,N1,"O1,Oz,O2",-0.35723747435244857
sub24,task1,correct,N1,"O1,Oz,O2",-1.3584277877819408
sub24,task1,correct_left,N1,"O1,Oz,O2",-1.5540371521167775
sub24,task1,correct_right,N1,"O1,Oz,O2",-1.2184668284437223
sub24,task1,error,N1,"O1,Oz,O2",-1.7887819901327124
sub24,task1,error_left,N1,"O1,Oz,O2",-1.0489115153322053
sub24,task1,error_right,N1,"O1,Oz,O2",-1.8655710958176948
sub24,task1,left,N1,"O1,Oz,O2",-1.532755337021889
sub24,task1,right,N1,"O1,Oz,O2",-1.3678804829525555
sub25,task1,correct,N1,"O1,Oz,O2",-0.6185943887974393
sub25,task1,correct_left,N1,"O1,Oz,O2",-0.8900359902371255
sub25,task1,correct_right,N1,"O1,Oz,O2",-0.3409728127246532
sub25,task1,error,N1,"O1,Oz,O2",-1.5311585610588145
sub25,task1,error_left,N1,"O1,Oz,O2",-2.427812064365022
sub25,task1,error_right,N1,"O1,Oz,O2",-1.1391019518092163
sub25,task1,left,N1,"O1,Oz,O2",-1.0509813938032972
sub25,task1,right,N1,"O1,Oz,O2",-0.5030666743979411
sub26,task1,correct,N1,"O1,Oz,O2",-0.6362301994785254
sub26,task1,correct_left,N1,"O1,Oz,O2",-0.7397690862760431
sub26,task1,correct_right,N1,"O1,Oz,O2",-0.5401225529881445
sub26,task1,error,N1,"O1,Oz,O2",-0.19963272024737755
sub26,task1,error_left,N1,"O1,Oz,O2",-0.46666009536953906
sub26,task1,error_right,N1,"O1,Oz,O2",-0.0980219720583606
sub26,task1,left,N1,"O1,Oz,O2",-0.7521323507195283
sub26,task1,right,N1,"O1,Oz,O2",-0.48101380872411126
sub27,task1,correct,N1,"O1,Oz,O2",-1.7625992646607562
sub27,task1,correct_left,N1,"O1,Oz,O2",-1.7960424175153102
sub27,task1,correct_right,N1,"O1,Oz,O2",-1.6989869470039058
sub27,task1,error,N1,"O1,Oz,O2",-1.1589825863892536
sub27,task1,error_left,N1,"O1,Oz,O2",-0.33496146247206643
sub27,task1,error_right,N1,"O1,Oz,O2",-3.5731122140367164
sub27,task1,left,N1,"O1,Oz,O2",-1.4806270403995632
sub27,task1,right,N1,"O1,Oz,O2",-1.9720014207663061
sub28,task1,correct,N1,"O1,Oz,O2",0.5003631690035384
sub28,task1,correct_left,N1,"O1,Oz,O2",0.6961759425023681
sub28,task1,correct_right,N1,"O1,Oz,O2",0.16487800566487482
sub28,task1,error,N1,"O1,Oz,O2",0.3708966591301349
sub28,task1,error_left,N1,"O1,Oz,O2",0.4795743995669111
sub28,task1,error_right,N1,"O1,Oz,O2",-0.1333647026347432
sub28,task1,left,N1,"O1,Oz,O2",0.6615016188466658
sub28,task1,right,N1,"O1,Oz,O2",0.10004384617293982
