subject,task,id_sess,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-7.03940424460288
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-8.17197659309459
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-6.863958865541691
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-7.111353170766251
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-6.128563340705425
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-7.076104793844169
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-9.560409123274665
sub18,task2,18cl03,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-7.851569086129957
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-4.912476531417149
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-5.439281695220909
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-5.519352557148514
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-4.7994633956123725
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-5.58401238187842
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-4.7378169828666845
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-4.269262612370288
sub18,task2,18cl04,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-5.658660273255401
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-3.304419894466231
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-3.5097168999608064
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.460802640727216
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-3.2949347783430243
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.4753931816064263
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-3.2697631470729482
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-3.4102969222991804
sub19,task2,19ll03,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-3.5743398854408635
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-6.709388114210517
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-6.034324328951562
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-7.1290346269718485
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-6.586233120998307
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-8.198583633144603
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-6.571277239470663
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-4.395742722308144
sub19,task2,19ll04,clean_epochs_task2_ICA_sub19_llx1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-6.7716860519411
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-1.1789061565044876
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.0433613360300344
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.49871170884239924
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-1.3437713444186787
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.3974751918127223
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-1.259851196671762
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.7911727580392439
sub20,task2,20py03,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.848339707595543
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",0.08383841038300162
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.6383453958494225
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",0.26609315970951286
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.024830920105543195
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",0.2738607312193729
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",0.048618756090053596
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",0.21837807757751543
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.9715156355154538
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-2.386900729128821
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.5221770759866735
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-2.521015100832634
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-2.413959013479831
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-2.477131333282859
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-2.3812613163691942
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-2.5728777352096395
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.5139754987594296
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-2.588368533582426
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.296456111849814
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-2.7473544928035967
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-2.5151466410011656
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.153869754068204
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-2.5446817440170015
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-2.2595361792860684
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.312744317392643
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-3.0545287101365295
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.515643436573745
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.7744788474881528
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-2.8849392707002783
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",0.5432187282023226
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-3.085813470469911
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-4.391292786872507
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.029363975385177
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-1.2863258257201835
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.0641867356809493
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.63595645528187
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-1.2907356965285184
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.7811054083084077
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-1.0822074962356922
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-2.329615878043036
