task,condition,component,roi,group_mean_uV,group_std_uV,n_subjects
task1,correct,N1,"O1,Oz,O2",-4.596245120350272,2.882440790645497,10
task1,correct_left,N1,"O1,Oz,O2",-4.657369566958813,2.9306527477507185,10
task1,correct_right,N1,"O1,Oz,O2",-4.51666917929577,2.84867735878317,10
task1,error,N1,"O1,Oz,O2",-4.784953431287562,2.9178147077555043,10
task1,error_left,N1,"O1,Oz,O2",-5.165232853807158,3.0450977044541703,10
task1,error_right,N1,"O1,Oz,O2",-4.682102516689978,2.9698983762222313,10
task1,left,N1,"O1,Oz,O2",-4.672969236000225,2.916984328383879,10
task1,right,N1,"O1,Oz,O2",-4.540562283361651,2.8713860000755704,10
task2,correct,N1,"O1,Oz,O2",-3.7061652779316163,2.3568340373472156,10
task2,correct_left,N1,"O1,Oz,O2",-3.825508796154079,2.3738432440357635,10
task2,correct_right,N1,"O1,Oz,O2",-3.708387634962789,2.3725408673304456,10
task2,error,N1,"O1,Oz,O2",-3.86098696452751,2.4626437833614157,10
task2,error_left,N1,"O1,Oz,O2",-3.691574879734843,2.7454999957139226,10
task2,error_right,N1,"O1,Oz,O2",-3.832734835002602,2.45691923368333,10
task2,left,N1,"O1,Oz,O2",-3.7595533506092247,2.3898515200485586,10
task2,right,N1,"O1,Oz,O2",-3.739963234866792,2.392263164136945,10
