subject,task,condition,component,roi,mean_amp_uV
sub18,task1,correct,N1,"O1,Oz,O2",-8.1063832615291
sub18,task1,correct_left,N1,"O1,Oz,O2",-8.421627057185248
sub18,task1,correct_right,N1,"O1,Oz,O2",-7.809559031914404
sub18,task1,error,N1,"O1,Oz,O2",-8.420471200174447
sub18,task1,error_left,N1,"O1,Oz,O2",-9.163620619235754
sub18,task1,error_right,N1,"O1,Oz,O2",-7.500336271872633
sub18,task1,left,N1,"O1,Oz,O2",-8.551323065242679
sub18,task1,right,N1,"O1,Oz,O2",-7.738741211537634
sub19,task1,correct,N1,"O1,Oz,O2",-4.636252359333776
sub19,task1,correct_left,N1,"O1,Oz,O2",-4.567770011808936
sub19,task1,correct_right,N1,"O1,Oz,O2",-4.653098475418977
sub19,task1,error,N1,"O1,Oz,O2",-4.8370839298840345
sub19,task1,error_left,N1,"O1,Oz,O2",-6.258542674004195
sub19,task1,error_right,N1,"O1,Oz,O2",-4.782098998330771
sub19,task1,left,N1,"O1,Oz,O2",-4.629397220777582
sub19,task1,right,N1,"O1,Oz,O2",-4.6525276958608694
sub20,task1,correct,N1,"O1,Oz,O2",-0.5393014662863802
sub20,task1,correct_left,N1,"O1,Oz,O2",-0.5142300939883031
sub20,task1,correct_right,N1,"O1,Oz,O2",-0.5496102588259373
sub20,task1,error,N1,"O1,Oz,O2",-0.31292422660171865
sub20,task1,error_left,N1,"O1,Oz,O2",-0.5886033370903919
sub20,task1,error_right,N1,"O1,Oz,O2",-0.2637715204737885
sub20,task1,left,N1,"O1,Oz,O2",-0.5017281065668273
sub20,task1,right,N1,"O1,Oz,O2",-0.4874510082794262
sub21,task1,correct,N1,"O1,Oz,O2",-2.0812603587256855
sub21,task1,correct_left,N1,"O1,Oz,O2",-2.249195927870688
sub21,task1,correct_right,N1,"O1,Oz,O2",-1.9244688957365366
sub21,task1,error,N1,"O1,Oz,O2",-2.4586571802566253
sub21,task1,error_left,N1,"O1,Oz,O2",-1.9589103751404204
sub21,task1,error_right,N1,"O1,Oz,O2",-2.598300196241456
sub21,task1,left,N1,"O1,Oz,O2",-2.1988389885002935
sub21,task1,right,N1,"O1,Oz,O2",-2.0662994214708204
sub22,task1,correct,N1,"O1,Oz,O2",-1.7883907213232704
