subject,task,session,file,condition,n_trials
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct,284
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error,16
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,left,14
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,right,286
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct_left,11
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,correct_right,273
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error_left,3
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess3-epo.fif,error_right,13
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct,281
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error,19
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,left,61
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,right,239
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct_left,58
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,correct_right,223
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error_left,3
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess4-epo.fif,error_right,16
sub18,task2,1,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,correct,112
sub18,task2,1,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,error,38
sub18,task2,1,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,left,114
sub18,task2,1,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,right,36
sub18,task2,1,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,correct_left,79
sub18,task2,1,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,correct_right,33
sub18,task2,1,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,error_left,35
sub18,task2,1,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,error_right,3
sub18,task2,2,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,correct,111
sub18,task2,2,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,error,39
sub18,task2,2,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,left,43
sub18,task2,2,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,right,107
sub18,task2,2,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,correct_left,43
sub18,task2,2,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,correct_right,68
sub18,task2,2,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,error_left,0
sub18,task2,2,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,error_right,39
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,correct,267
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,error,33
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,left,58
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,right,242
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,correct_left,45
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,correct_right,222
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess3-epo.fif,error_left,13
