task,condition,component,roi,group_mean_uV,group_std_uV,n_subjects
task1,correct,N1,"O1,Oz,O2",-4.596890274155558,2.846222473148583,10
task1,correct_left,N1,"O1,Oz,O2",-4.551327602551184,2.87345572763882,10
task1,correct_right,N1,"O1,Oz,O2",-4.629269415874072,2.850224523079962,10
task1,error,N1,"O1,Oz,O2",-4.666989377284275,2.6585251515972423,10
task1,error_left,N1,"O1,Oz,O2",-4.957061812232475,2.7618408564343975,10
task1,error_right,N1,"O1,Oz,O2",-4.507627785834444,2.6849875308010294,10
task1,left,N1,"O1,Oz,O2",-4.55415217492862,2.8071619560139784,10
task1,right,N1,"O1,Oz,O2",-4.6170840772348,2.8227651622091177,10
task2,correct,N1,"O1,Oz,O2",-3.808967916946547,2.608144693957012,10
task2,correct_left,N1,"O1,Oz,O2",-3.8891129029958607,2.826746035187716,10
task2,correct_right,N1,"O1,Oz,O2",-3.772743747608043,2.5982902802695516,10
task2,error,N1,"O1,Oz,O2",-3.6451754313458387,2.637383982225983,10
task2,error_left,N1,"O1,Oz,O2",-3.7970779741575953,2.314168252976796,10
task2,error_right,N1,"O1,Oz,O2",-3.473230999012152,2.6508674094482014,10
task2,left,N1,"O1,Oz,O2",-4.004495532695775,2.7476922936053976,10
task2,right,N1,"O1,Oz,O2",-3.754886151660327,2.59596216958208,10
