subject,task,session,file,condition,n_trials
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,correct,141
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,error,9
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,left,66
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,right,84
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,correct_left,64
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,correct_right,77
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,error_left,2
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,error_right,7
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,correct,116
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,error,34
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,left,70
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,right,80
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,correct_left,57
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,correct_right,59
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,error_left,13
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,error_right,21
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,correct,116
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,error,34
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,left,52
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,right,98
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,correct_left,47
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,correct_right,69
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,error_left,5
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,error_right,29
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,correct,127
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,error,23
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,left,66
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,right,84
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,correct_left,60
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,correct_right,67
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,error_left,6
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,error_right,17
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,correct,123
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,error,27
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,left,66
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,right,84
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,correct_left,57
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,correct_right,66
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,error_left,9
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,error_right,18
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,correct,120
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,error,30
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,left,79
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,right,71
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,correct_left,63
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,correct_right,57
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,error_left,16
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,error_right,14
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,correct,115
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,error,35
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,left,85
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,right,65
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,correct_left,63
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,correct_right,52
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,error_left,22
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,error_right,13
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,correct,126
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,error,24
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,left,70
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,right,80
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,correct_left,59
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,correct_right,67
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,error_left,11
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,error_right,13
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,correct,125
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,error,25
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,left,73
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,right,77
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,correct_left,63
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,correct_right,62
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,error_left,10
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,error_right,15
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,correct,137
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,error,13
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,left,91
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,right,59
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,correct_left,83
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,correct_right,54
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,error_left,8
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,error_right,5
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,correct,253
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,error,47
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,left,131
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,right,169
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,correct_left,111
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,correct_right,142
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,error_left,20
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,error_right,27
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct,221
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error,79
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,left,210
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,right,90
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct_left,148
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct_right,73
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error_left,62
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error_right,17
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct,123
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error,27
